S 	L 	M 	s1	l1	m1	s2	l2	m2	I
1	1	-1	0	0	0	1	1	-1	0.2820947917738781
1	1	-1	0	0	0	1	1	0	0.0
1	1	-1	0	0	0	1	1	1	0.0
1	1	-1	0	1	-1	1	2	-2	0.0
1	1	-1	0	1	-1	1	2	-1	0.0
1	1	-1	0	1	-1	1	2	0	-0.1092548430592079
1	1	-1	0	1	-1	1	2	1	0.0
1	1	-1	0	1	-1	1	2	2	0.0
1	1	-1	0	1	0	1	2	-2	0.0
1	1	-1	0	1	0	1	2	-1	0.18923493915151204
1	1	-1	0	1	0	1	2	0	0.0
1	1	-1	0	1	0	1	2	1	0.0
1	1	-1	0	1	0	1	2	2	0.0
1	1	-1	0	1	1	1	2	-2	-0.2676186174229157
1	1	-1	0	1	1	1	2	-1	0.0
1	1	-1	0	1	1	1	2	0	0.0
1	1	-1	0	1	1	1	2	1	0.0
1	1	-1	0	1	1	1	2	2	0.0
1	1	-1	0	2	-2	1	1	-1	0.0
1	1	-1	0	2	-2	1	1	0	0.0
1	1	-1	0	2	-2	1	1	1	0.15450968080927582
1	1	-1	0	2	-2	1	3	-3	0.0
1	1	-1	0	2	-2	1	3	-2	0.0
1	1	-1	0	2	-2	1	3	-1	0.0
1	1	-1	0	2	-2	1	3	0	0.0
1	1	-1	0	2	-2	1	3	1	0.06743355313447355
1	1	-1	0	2	-2	1	3	2	0.0
1	1	-1	0	2	-2	1	3	3	0.0
1	1	-1	0	2	-1	1	1	-1	0.0
1	1	-1	0	2	-1	1	1	0	-0.1092548430592079
1	1	-1	0	2	-1	1	1	1	0.0
1	1	-1	0	2	-1	1	3	-3	0.0
1	1	-1	0	2	-1	1	3	-2	0.0
1	1	-1	0	2	-1	1	3	-1	0.0
1	1	-1	0	2	-1	1	3	0	-0.1167983401638037
1	1	-1	0	2	-1	1	3	1	0.0
1	1	-1	0	2	-1	1	3	2	0.0
1	1	-1	0	2	-1	1	3	3	0.0
1	1	-1	0	2	0	1	1	-1	0.063078313050504
1	1	-1	0	2	0	1	1	0	0.0
1	1	-1	0	2	0	1	1	1	0.0
1	1	-1	0	2	0	1	3	-3	0.0
1	1	-1	0	2	0	1	3	-2	0.0
1	1	-1	0	2	0	1	3	-1	0.16517779672231736
1	1	-1	0	2	0	1	3	0	0.0
1	1	-1	0	2	0	1	3	1	0.0
1	1	-1	0	2	0	1	3	2	0.0
1	1	-1	0	2	0	1	3	3	0.0
1	1	-1	0	2	1	1	1	-1	0.0
1	1	-1	0	2	1	1	1	0	0.0
1	1	-1	0	2	1	1	1	1	0.0
1	1	-1	0	2	1	1	3	-3	0.0
1	1	-1	0	2	1	1	3	-2	-0.21324361862292307
1	1	-1	0	2	1	1	3	-1	0.0
1	1	-1	0	2	1	1	3	0	0.0
1	1	-1	0	2	1	1	3	1	0.0
1	1	-1	0	2	1	1	3	2	0.0
1	1	-1	0	2	1	1	3	3	0.0
1	1	-1	0	2	2	1	1	-1	0.0
1	1	-1	0	2	2	1	1	0	0.0
1	1	-1	0	2	2	1	1	1	0.0
1	1	-1	0	2	2	1	3	-3	0.261169028265409
1	1	-1	0	2	2	1	3	-2	0.0
1	1	-1	0	2	2	1	3	-1	0.0
1	1	-1	0	2	2	1	3	0	0.0
1	1	-1	0	2	2	1	3	1	0.0
1	1	-1	0	2	2	1	3	2	0.0
1	1	-1	0	2	2	1	3	3	0.0
1	1	-1	0	3	-3	1	2	-2	0.0
1	1	-1	0	3	-3	1	2	-1	0.0
1	1	-1	0	3	-3	1	2	0	0.0
1	1	-1	0	3	-3	1	2	1	0.0
1	1	-1	0	3	-3	1	2	2	-0.18467439092237178
1	1	-1	0	3	-3	1	4	-4	0.0
1	1	-1	0	3	-3	1	4	-3	0.0
1	1	-1	0	3	-3	1	4	-2	0.0
1	1	-1	0	3	-3	1	4	-1	0.0
1	1	-1	0	3	-3	1	4	0	0.0
1	1	-1	0	3	-3	1	4	1	0.0
1	1	-1	0	3	-3	1	4	2	-0.04866597506825153
1	1	-1	0	3	-3	1	4	3	0.0
1	1	-1	0	3	-3	1	4	4	0.0
