S 	L 	M 	s1	l1	m1	s2	l2	m2	I
0	0	0	0	0	0	0	0	0	0.28209479177387814
0	0	0	0	1	-1	0	1	-1	0.0
0	0	0	0	1	-1	0	1	0	0.0
0	0	0	0	1	-1	0	1	1	-0.2820947917738781
0	0	0	0	1	0	0	1	-1	0.0
0	0	0	0	1	0	0	1	0	0.2820947917738781
0	0	0	0	1	0	0	1	1	0.0
0	0	0	0	1	1	0	1	-1	-0.2820947917738781
0	0	0	0	1	1	0	1	0	0.0
0	0	0	0	1	1	0	1	1	0.0
0	0	0	0	2	-2	0	2	-2	0.0
0	0	0	0	2	-2	0	2	-1	0.0
0	0	0	0	2	-2	0	2	0	0.0
0	0	0	0	2	-2	0	2	1	0.0
0	0	0	0	2	-2	0	2	2	0.28209479177387814
0	0	0	0	2	-1	0	2	-2	0.0
0	0	0	0	2	-1	0	2	-1	0.0
0	0	0	0	2	-1	0	2	0	0.0
0	0	0	0	2	-1	0	2	1	-0.28209479177387814
0	0	0	0	2	-1	0	2	2	0.0
0	0	0	0	2	0	0	2	-2	0.0
0	0	0	0	2	0	0	2	-1	0.0
0	0	0	0	2	0	0	2	0	0.28209479177387814
0	0	0	0	2	0	0	2	1	0.0
0	0	0	0	2	0	0	2	2	0.0
0	0	0	0	2	1	0	2	-2	0.0
0	0	0	0	2	1	0	2	-1	-0.28209479177387814
0	0	0	0	2	1	0	2	0	0.0
0	0	0	0	2	1	0	2	1	0.0
0	0	0	0	2	1	0	2	2	0.0
0	0	0	0	2	2	0	2	-2	0.28209479177387814
0	0	0	0	2	2	0	2	-1	0.0
0	0	0	0	2	2	0	2	0	0.0
0	0	0	0	2	2	0	2	1	0.0
0	0	0	0	2	2	0	2	2	0.0
0	0	0	0	3	-3	0	3	-3	0.0
0	0	0	0	3	-3	0	3	-2	0.0
0	0	0	0	3	-3	0	3	-1	0.0
0	0	0	0	3	-3	0	3	0	0.0
0	0	0	0	3	-3	0	3	1	0.0
0	0	0	0	3	-3	0	3	2	0.0
0	0	0	0	3	-3	0	3	3	-0.2820947917738781
0	0	0	0	3	-2	0	3	-3	0.0
0	0	0	0	3	-2	0	3	-2	0.0
0	0	0	0	3	-2	0	3	-1	0.0
